Period,StationNames,MaxTemp,MinTemp,Rainfall,RelativeHumidity,WindSpeed,CloudCoverage,BrightSunshine,StationNumber,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT
1949.01,Barisal,29.4,12.3,0,68,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1950.01,Barisal,30,14.1,0,77,0.453703704,0.8,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1951.01,Barisal,28.2,12.3,0,77,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1952.01,Barisal,26.6,12.3,2,77,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1953.01,Barisal,30,13.3,10,75,0.453703704,1.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1954.01,Barisal,27.8,12.7,0,72,0.453703704,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1955.01,Barisal,26.6,12.3,2,77,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1956.01,Barisal,29.4,14.3,17,74,0.453703704,0.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1957.01,Barisal,30.1,15.1,104,80,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1958.01,Barisal,31.1,15.5,0,77,0.453703704,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1959.01,Barisal,29.9,14.5,24,77,0.453703704,1.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1960.01,Barisal,27.3,12.8,0,71,0.3,1.3,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1961.01,Barisal,28.8,14.5,8,73,0.2,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1962.01,Barisal,28.3,11.6,0,74,0.3,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1963.01,Barisal,27.7,12.2,0,67,0.2,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1964.01,Barisal,26.6,12.3,0,77,0.4,0.9,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1965.01,Barisal,26.6,12.3,0,80,0.1,1.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1966.01,Barisal,26.6,12.3,19,82,0.5,2.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1967.01,Barisal,26.6,12.3,42,78,0.4,2.7,8.1,41950,536809.8,510151.9,22.7,90.36,4
1968.01,Barisal,28.9,12.2,0,75,0.6,0.9,8,41950,536809.8,510151.9,22.7,90.36,4
1969.01,Barisal,27.9,10.6,0,74,0.6,1,8.3,41950,536809.8,510151.9,22.7,90.36,4
1970.01,Barisal,26.7,11.6,0,78,0.5,2.1,8.7,41950,536809.8,510151.9,22.7,90.36,4
1971.01,Barisal,27.9,13.2,7,77,0.4,1.9,8.6,41950,536809.8,510151.9,22.7,90.36,4
1972.01,Barisal,28.3,12.1,0,77,0.5,0.7,10.1,41950,536809.8,510151.9,22.7,90.36,4
1973.01,Barisal,31.7,12.6,0,73,0.5,0.4,9.9,41950,536809.8,510151.9,22.7,90.36,4
1974.01,Barisal,27.2,11.7,2,77,0.3,0.3,10.3,41950,536809.8,510151.9,22.7,90.36,4
1975.01,Barisal,27.5,11.2,1,77,0.6,0.7,10.2,41950,536809.8,510151.9,22.7,90.36,4
1976.01,Barisal,31.1,11.7,0,77,0.2,0.3,8.1,41950,536809.8,510151.9,22.7,90.36,4
1977.01,Barisal,28.3,11.1,9,75,0.4,0.6,9.3,41950,536809.8,510151.9,22.7,90.36,4
1978.01,Barisal,27.8,10.7,0,72,0.3,0.4,8.1,41950,536809.8,510151.9,22.7,90.36,4
1979.01,Barisal,30.6,12,1,75,0.3,0.6,8.8,41950,536809.8,510151.9,22.7,90.36,4
1980.01,Barisal,29.5,11.8,0,75,0.4,0.5,9,41950,536809.8,510151.9,22.7,90.36,4
1981.01,Barisal,28,13.1,24,79,0.6,1.6,8.4,41950,536809.8,510151.9,22.7,90.36,4
1982.01,Barisal,29.8,12.4,0,74,0.2,0.4,8.1,41950,536809.8,510151.9,22.7,90.36,4
1983.01,Barisal,28.2,11.9,8,77,0.3,1.2,7.7,41950,536809.8,510151.9,22.7,90.36,4
1984.01,Barisal,27.6,11.7,16,83,0.3,1.4,8.2,41950,536809.8,510151.9,22.7,90.36,4
1985.01,Barisal,30.2,12.6,1,84,0.2,1.4,7.5,41950,536809.8,510151.9,22.7,90.36,4
